Max,Min,Mean
49.39759864,0.0,1.0
59.0581049521,0.0,1.0
49.9254604395,0.0,1.0
49.0352064705,0.0,1.0
49.5502631841,0.0,1.0
44.7975201203,0.0,1.0
51.2886642201,0.0,1.0
47.6534494709,0.0,1.0
44.240430829,0.0,1.0
42.3645126808,0.0,1.0
42.8051600697,0.0,1.0
54.4889891326,0.0,1.0
45.8515395308,0.0,1.0
60.7421890002,0.0,1.0
48.7274654849,0.0,1.0
51.7078273063,0.0,1.0
40.2983292569,0.0,1.0
39.6614985527,0.0,1.0
36.1293554816,0.0,1.0
48.8304659176,0.0,1.0
56.2664329381,0.0,1.0
52.7134647856,0.0,1.0
57.5928398635,0.0,1.0
52.4751147799,0.0,1.0
52.5798589556,0.0,1.0
57.6435096672,0.0,1.0
39.2735191088,0.0,1.0
49.4865102152,0.0,1.0
61.0408512836,0.0,1.0
65.0549554969,0.0,1.0
56.9748661222,0.0,1.0
50.2503722512,0.0,1.0
62.7959391892,0.0,1.0
54.0429816889,0.0,1.0
50.976976032,0.0,1.0
74.7075483736,0.0,1.0
69.8531642129,0.0,1.0
62.0254589661,0.0,1.0
50.7522897358,0.0,1.0
55.9156384291,0.0,1.0
52.6217842481,0.0,1.0
72.2282377709,0.0,1.0
52.1420921229,0.0,1.0
53.6626303981,0.0,1.0
42.4738443641,0.0,1.0
53.2753239475,0.0,1.0
48.4706132877,0.0,1.0
50.1415351328,0.0,1.0
55.6503933358,0.0,1.0
48.0777366094,0.0,1.0
53.2613346491,0.0,1.0
44.9468347709,0.0,1.0
51.05064584,0.0,1.0
55.6767607398,0.0,1.0
59.8366807698,0.0,1.0
49.3814317978,0.0,1.0
51.3197883511,0.0,1.0
64.573680333,0.0,1.0
49.3833560458,0.0,1.0
51.0553722193,0.0,1.0
46.4161802762,0.0,1.0
54.492626208,0.0,1.0
63.6473778875,0.0,1.0
62.8690874415,0.0,1.0
58.5839595354,0.0,1.0
70.5696605758,0.0,1.0
57.9955798689,0.0,1.0
43.4674954225,0.0,1.0
54.1522979895,0.0,1.0
65.1796410038,0.0,1.0
50.9169563981,0.0,1.0
57.358987296,0.0,1.0
47.8823050709,0.0,1.0
45.4069810111,0.0,1.0
49.2648636871,0.0,1.0
45.4367939183,0.0,1.0
53.9385725685,0.0,1.0
51.0958869783,0.0,1.0
67.0637601312,0.0,1.0
54.9364508717,0.0,1.0
64.2564458104,0.0,1.0
46.3991707972,0.0,1.0
48.8658837821,0.0,1.0
55.808038173,0.0,1.0
56.939047725,0.0,1.0
66.6527281052,0.0,1.0
52.9193232081,0.0,1.0
46.8024856905,0.0,1.0
44.3513213909,0.0,1.0
51.5170506187,0.0,1.0
67.5446981665,0.0,1.0
66.8025871002,0.0,1.0
64.0867820108,0.0,1.0
59.5071312447,0.0,1.0
46.455055544,0.0,1.0
49.1299301096,0.0,1.0
55.4101645271,0.0,1.0
60.4887156401,0.0,1.0
63.2196121098,0.0,1.0
52.9306957419,0.0,1.0
68.4776416921,0.0,1.0
68.5446221679,0.0,1.0
62.3043239711,0.0,1.0
52.4337449208,0.0,1.0
81.0840919832,0.0,1.0
54.8615653606,0.0,1.0
63.2704189304,0.0,1.0
52.2575309421,0.0,1.0
42.9473521703,0.0,1.0
45.578992253,0.0,1.0
49.763950021,0.0,1.0
47.2839008787,0.0,1.0
36.5533595924,0.0,1.0
39.8761803109,0.0,1.0
41.6792708435,0.0,1.0
46.3068596559,0.0,1.0
55.3293266702,0.0,1.0
56.9712105326,0.0,1.0
62.8581135929,0.0,1.0
61.0187308534,0.0,1.0
60.6264197045,0.0,1.0
70.7951952915,0.0,1.0
73.4983445782,0.0,1.0
55.9317394209,0.0,1.0
62.7876212424,0.0,1.0
59.7882734891,0.0,1.0
60.1744705726,0.0,1.0
73.1872265769,0.0,1.0
70.2513337569,0.0,1.0
52.9956020626,0.0,1.0
59.3970648999,0.0,1.0
60.2876194682,0.0,1.0
47.9309699387,0.0,1.0
54.3587691748,0.0,1.0
67.5433614933,0.0,1.0
59.8128869904,0.0,1.0
59.4364910602,0.0,1.0
62.3851813165,0.0,1.0
61.7812337051,0.0,1.0
35.9227977643,0.0,1.0
36.7063786264,0.0,1.0
44.8471917182,0.0,1.0
55.9030962815,0.0,1.0
59.0242256635,0.0,1.0
60.9329081701,0.0,1.0
44.1217675796,0.0,1.0
51.2082791235,0.0,1.0
62.9922350945,0.0,1.0
76.6320908086,0.0,1.0
69.0517999944,0.0,1.0
66.8153537999,0.0,1.0
75.8880053116,0.0,1.0
67.2139601754,0.0,1.0
54.6205084535,0.0,1.0
61.2609040669,0.0,1.0
71.4169181339,0.0,1.0
48.1873139067,0.0,1.0
63.840460715,0.0,1.0
46.9006582176,0.0,1.0
41.1892202004,0.0,1.0
35.5427065853,0.0,1.0
50.9753548783,0.0,1.0
45.878159917,0.0,1.0
45.0932783738,0.0,1.0
52.9133039936,0.0,1.0
43.2810725694,0.0,1.0
46.6662596675,0.0,1.0
51.6732645785,0.0,1.0
50.3324578061,0.0,1.0
52.4940036652,0.0,1.0
66.8915592675,0.0,1.0
57.2202612609,0.0,1.0
54.8087157957,0.0,1.0
65.7076264185,0.0,1.0
58.9094945367,0.0,1.0
69.5281527111,0.0,1.0
69.2501883677,0.0,1.0
71.6549922575,0.0,1.0
76.0274931345,0.0,1.0
46.6605679595,0.0,1.0
45.2506492259,0.0,1.0
58.0669688629,0.0,1.0
64.1454596667,0.0,1.0
67.9650171608,0.0,1.0
55.7853617314,0.0,1.0
44.6405307143,0.0,1.0
57.8823209678,0.0,1.0
64.1056813169,0.0,1.0
45.0205769891,0.0,1.0
44.9696185904,0.0,1.0
45.8190020489,0.0,1.0
64.8780732349,0.0,1.0
50.2687156062,0.0,1.0
48.7109880709,0.0,1.0
59.7193720821,0.0,1.0
54.6918691067,0.0,1.0
52.273352427,0.0,1.0
42.0178179314,0.0,1.0
51.7019961041,0.0,1.0
67.5121799195,0.0,1.0
36.4137534704,0.0,1.0
39.34036468,0.0,1.0
57.1658145326,0.0,1.0
39.1652730529,0.0,1.0
52.7277471626,0.0,1.0
73.9960029905,0.0,1.0
48.0715912442,0.0,1.0
43.482910121,0.0,1.0
54.7100184817,0.0,1.0
70.2271339111,0.0,1.0
58.1701452554,0.0,1.0
38.8265738091,0.0,1.0
50.8777810716,0.0,1.0
67.4332854409,0.0,1.0
65.9954561358,0.0,1.0
54.716122437,0.0,1.0
53.513499444,0.0,1.0
64.5354690148,0.0,1.0
43.3034427761,0.0,1.0
40.8627900427,0.0,1.0
49.2190506349,0.0,1.0
36.5105916958,0.0,1.0
37.8956140936,0.0,1.0
44.121879641,0.0,1.0
44.8686635059,0.0,1.0
45.1044465526,0.0,1.0
51.0194024257,0.0,1.0
48.7659982049,0.0,1.0
47.6379501869,0.0,1.0
50.6011850938,0.0,1.0
60.390093385,0.0,1.0
68.0537183745,0.0,1.0
71.3268608735,0.0,1.0
46.049088763,0.0,1.0
51.6340122879,0.0,1.0
45.0274852124,0.0,1.0
61.9530169354,0.0,1.0
71.74060056,0.0,1.0
44.0373123321,0.0,1.0
54.7341285278,0.0,1.0
59.4608941191,0.0,1.0
46.2423041443,0.0,1.0
54.8425503075,0.0,1.0
59.9990167243,0.0,1.0
59.1387886007,0.0,1.0
51.603168961,0.0,1.0
66.4711010127,0.0,1.0
56.3869395051,0.0,1.0
44.6539524514,0.0,1.0
42.7095814418,0.0,1.0
54.5032923925,0.0,1.0
50.0650667612,0.0,1.0
48.8480729649,0.0,1.0
48.1565208921,0.0,1.0
50.4800934689,0.0,1.0
42.272908441,0.0,1.0
60.1069660908,0.0,1.0
63.529099158,0.0,1.0
60.2302898233,0.0,1.0
63.9726378458,0.0,1.0
55.2070707885,0.0,1.0
47.0229794078,0.0,1.0
49.0731867637,0.0,1.0
55.2657157455,0.0,1.0
51.7411602382,0.0,1.0
44.3563389623,0.0,1.0
60.3908066207,0.0,1.0
46.6622668519,0.0,1.0
47.8848547724,0.0,1.0
55.5681490894,0.0,1.0
56.6032571043,0.0,1.0
48.4116420246,0.0,1.0
55.9057832869,0.0,1.0
54.8822349218,0.0,1.0
48.3466283041,0.0,1.0
51.96409591,0.0,1.0
44.2694355442,0.0,1.0
43.6464863607,0.0,1.0
43.9986062402,0.0,1.0
37.5482758573,0.0,1.0
46.2759525873,0.0,1.0
35.7352579575,0.0,1.0
53.80022385,0.0,1.0
64.0071262977,0.0,1.0
68.7995505596,0.0,1.0
43.43297281,0.0,1.0
67.7428979647,0.0,1.0
54.3294052364,0.0,1.0
50.0089837869,0.0,1.0
56.8607413189,0.0,1.0
42.439787528,0.0,1.0
51.0655151558,0.0,1.0
49.1030822652,0.0,1.0
46.3335895766,0.0,1.0
42.9771499617,0.0,1.0
47.3377082822,0.0,1.0
43.4751643518,0.0,1.0
46.8380998377,0.0,1.0
33.5173435228,0.0,1.0
49.6745540218,0.0,1.0
55.1935570665,0.0,1.0
61.5907530135,0.0,1.0
53.2473063947,0.0,1.0
47.8768724487,0.0,1.0
49.6505705962,0.0,1.0
49.4352285678,0.0,1.0
39.9681144276,0.0,1.0
52.0569644732,0.0,1.0
41.8628605983,0.0,1.0
57.0292998493,0.0,1.0
78.879285757,0.0,1.0
75.5669577305,0.0,1.0
65.9306213033,0.0,1.0
83.0075772985,0.0,1.0
41.4519504444,0.0,1.0
40.8881094474,0.0,1.0
52.7256309625,0.0,1.0
62.8548700443,0.0,1.0
45.1675393157,0.0,1.0
47.9997486944,0.0,1.0
33.1117814404,0.0,1.0
44.2524076173,0.0,1.0
42.9942842193,0.0,1.0
44.2587434048,0.0,1.0
55.6978577652,0.0,1.0
51.3693029396,0.0,1.0
36.3260691664,0.0,1.0
47.1437895415,0.0,1.0
50.3066253423,0.0,1.0
42.1783705179,0.0,1.0
40.1192816845,0.0,1.0
41.7761362162,0.0,1.0
41.782564122,0.0,1.0
60.4449237273,0.0,1.0
61.6435192081,0.0,1.0
56.4498513038,0.0,1.0
46.1653659112,0.0,1.0
36.5330912122,0.0,1.0
42.6535342539,0.0,1.0
62.4019588507,0.0,1.0
62.0503717811,0.0,1.0
71.0976979846,0.0,1.0
62.6542962028,0.0,1.0
52.8242326341,0.0,1.0
53.2839117883,0.0,1.0
54.5352435057,0.0,1.0
56.6682297086,0.0,1.0
56.9129018506,0.0,1.0
46.1998015664,0.0,1.0
36.982943443,0.0,1.0
46.0858689806,0.0,1.0
41.4772076592,0.0,1.0
43.5479140514,0.0,1.0
71.7081910015,0.0,1.0
69.2852006482,0.0,1.0
59.3410842261,0.0,1.0
47.2971677993,0.0,1.0
43.0363536835,0.0,1.0
55.9990879156,0.0,1.0
44.8934031703,0.0,1.0
65.759986033,0.0,1.0
43.9203481398,0.0,1.0
40.4079144822,0.0,1.0
52.5231688612,0.0,1.0
64.1774197295,0.0,1.0
63.2752522025,0.0,1.0
51.9926885931,0.0,1.0
54.7881680898,0.0,1.0
68.6187232967,0.0,1.0
51.7209224088,0.0,1.0
62.6639256152,0.0,1.0
63.2448954065,0.0,1.0
68.2946203522,0.0,1.0
62.2403578156,0.0,1.0
51.820413782,0.0,1.0
57.5383426032,0.0,1.0
43.8150921534,0.0,1.0
45.8112160391,0.0,1.0
60.1529969064,0.0,1.0
48.7693782494,0.0,1.0
52.2540409208,0.0,1.0
59.3064785507,0.0,1.0
60.8632822582,0.0,1.0
43.0311516241,0.0,1.0
37.1937249155,0.0,1.0
46.3590310431,0.0,1.0
77.3037609694,0.0,1.0
54.5453213519,0.0,1.0
66.72251454,0.0,1.0
65.4032374976,0.0,1.0
44.4733129501,0.0,1.0
51.8842221631,0.0,1.0
49.6874867787,0.0,1.0
63.8175236432,0.0,1.0
52.7485485041,0.0,1.0
49.7436697573,0.0,1.0
55.8114025654,0.0,1.0
56.5083172145,0.0,1.0
81.7410290721,0.0,1.0
56.7117154641,0.0,1.0
56.3371409436,0.0,1.0
68.0142044057,0.0,1.0
57.1719352692,0.0,1.0
51.8952926388,0.0,1.0
40.08123654,0.0,1.0
47.2364877954,0.0,1.0
43.9143912276,0.0,1.0
58.7473224872,0.0,1.0
60.4076862123,0.0,1.0
62.9191285149,0.0,1.0
72.336313406,0.0,1.0
55.6141241372,0.0,1.0
64.9761531933,0.0,1.0
47.1247117023,0.0,1.0
33.8937743737,0.0,1.0
53.6259201467,0.0,1.0
57.0789856788,0.0,1.0
65.9112727242,0.0,1.0
38.0668919798,0.0,1.0
42.8392996981,0.0,1.0
45.2722679644,0.0,1.0
53.8412423421,0.0,1.0
66.1945204968,0.0,1.0
50.954786323,0.0,1.0
56.2129768923,0.0,1.0
67.4278937655,0.0,1.0
56.2921747341,0.0,1.0
62.7921112592,0.0,1.0
52.5340042707,0.0,1.0
44.9553315711,0.0,1.0
51.338263344,0.0,1.0
70.2143413973,0.0,1.0
51.653367549,0.0,1.0
54.5787418759,0.0,1.0
58.678756078,0.0,1.0
70.0726428608,0.0,1.0
49.4539719443,0.0,1.0
74.095815958,0.0,1.0
65.2460481734,0.0,1.0
54.1151796664,0.0,1.0
48.8120814659,0.0,1.0
51.616704578,0.0,1.0
64.2870096786,0.0,1.0
