Max,Min,Mean
49.39759864,0.0,48.39759864
59.0581049521,0.0,58.0581049521
49.9254604395,0.0,48.9254604395
49.0352064705,0.0,48.0352064705
49.5502631841,0.0,48.5502631841
44.7975201203,0.0,43.7975201203
51.2886642201,0.0,50.2886642201
47.6534494709,0.0,46.6534494709
44.240430829,0.0,43.240430829
42.3645126808,0.0,41.3645126808
42.8051600697,0.0,41.8051600697
54.4889891326,0.0,53.4889891326
45.8515395308,0.0,44.8515395308
60.7421890002,0.0,59.7421890002
48.7274654849,0.0,47.7274654849
51.7078273063,0.0,50.7078273063
40.2983292569,0.0,39.2983292569
39.6614985527,0.0,38.6614985527
36.1293554816,0.0,35.1293554816
48.8304659176,0.0,47.8304659176
56.2664329381,0.0,55.2664329381
52.7134647856,0.0,51.7134647856
57.5928398635,0.0,56.5928398635
52.4751147799,0.0,51.4751147799
52.5798589556,0.0,51.5798589556
57.6435096672,0.0,56.6435096672
39.2735191088,0.0,38.2735191088
49.4865102152,0.0,48.4865102152
61.0408512836,0.0,60.0408512836
65.0549554969,0.0,64.0549554969
56.9748661222,0.0,55.9748661222
50.2503722512,0.0,49.2503722512
62.7959391892,0.0,61.7959391892
54.0429816889,0.0,53.0429816889
50.976976032,0.0,49.976976032
74.7075483736,0.0,73.7075483736
69.8531642129,0.0,68.8531642129
62.0254589661,0.0,61.0254589661
50.7522897358,0.0,49.7522897358
55.9156384291,0.0,54.9156384291
52.6217842481,0.0,51.6217842481
72.2282377709,0.0,71.2282377709
52.1420921229,0.0,51.1420921229
53.6626303981,0.0,52.6626303981
42.4738443641,0.0,41.4738443641
53.2753239475,0.0,52.2753239475
48.4706132877,0.0,47.4706132877
50.1415351328,0.0,49.1415351328
55.6503933358,0.0,54.6503933358
48.0777366094,0.0,47.0777366094
53.2613346491,0.0,52.2613346491
44.9468347709,0.0,43.9468347709
51.05064584,0.0,50.05064584
55.6767607398,0.0,54.6767607398
59.8366807698,0.0,58.8366807698
49.3814317978,0.0,48.3814317978
51.3197883511,0.0,50.3197883511
64.573680333,0.0,63.573680333
49.3833560458,0.0,48.3833560458
51.0553722193,0.0,50.0553722193
46.4161802762,0.0,45.4161802762
54.492626208,0.0,53.492626208
63.6473778875,0.0,62.6473778875
62.8690874415,0.0,61.8690874415
58.5839595354,0.0,57.5839595354
70.5696605758,0.0,69.5696605758
57.9955798689,0.0,56.9955798689
43.4674954225,0.0,42.4674954225
54.1522979895,0.0,53.1522979895
65.1796410038,0.0,64.1796410038
50.9169563981,0.0,49.9169563981
57.358987296,0.0,56.358987296
47.8823050709,0.0,46.8823050709
45.4069810111,0.0,44.4069810111
49.2648636871,0.0,48.2648636871
45.4367939183,0.0,44.4367939183
53.9385725685,0.0,52.9385725685
51.0958869783,0.0,50.0958869783
67.0637601312,0.0,66.0637601312
54.9364508717,0.0,53.9364508717
64.2564458104,0.0,63.2564458104
46.3991707972,0.0,45.3991707972
48.8658837821,0.0,47.8658837821
55.808038173,0.0,54.808038173
56.939047725,0.0,55.939047725
66.6527281052,0.0,65.6527281052
52.9193232081,0.0,51.9193232081
46.8024856905,0.0,45.8024856905
44.3513213909,0.0,43.3513213909
51.5170506187,0.0,50.5170506187
67.5446981665,0.0,66.5446981665
66.8025871002,0.0,65.8025871002
64.0867820108,0.0,63.0867820108
59.5071312447,0.0,58.5071312447
46.455055544,0.0,45.455055544
49.1299301096,0.0,48.1299301096
55.4101645271,0.0,54.4101645271
60.4887156401,0.0,59.4887156401
63.2196121098,0.0,62.2196121098
52.9306957419,0.0,51.9306957419
68.4776416921,0.0,67.4776416921
68.5446221679,0.0,67.5446221679
62.3043239711,0.0,61.3043239711
52.4337449208,0.0,51.4337449208
81.0840919832,0.0,80.0840919832
54.8615653606,0.0,53.8615653606
63.2704189304,0.0,62.2704189304
52.2575309421,0.0,51.2575309421
42.9473521703,0.0,41.9473521703
45.578992253,0.0,44.578992253
49.763950021,0.0,48.763950021
47.2839008787,0.0,46.2839008787
36.5533595924,0.0,35.5533595924
39.8761803109,0.0,38.8761803109
41.6792708435,0.0,40.6792708435
46.3068596559,0.0,45.3068596559
55.3293266702,0.0,54.3293266702
56.9712105326,0.0,55.9712105326
62.8581135929,0.0,61.8581135929
61.0187308534,0.0,60.0187308534
60.6264197045,0.0,59.6264197045
70.7951952915,0.0,69.7951952915
73.4983445782,0.0,72.4983445782
55.9317394209,0.0,54.9317394209
62.7876212424,0.0,61.7876212424
59.7882734891,0.0,58.7882734891
60.1744705726,0.0,59.1744705726
73.1872265769,0.0,72.1872265769
70.2513337569,0.0,69.2513337569
52.9956020626,0.0,51.9956020626
59.3970648999,0.0,58.3970648999
60.2876194682,0.0,59.2876194682
47.9309699387,0.0,46.9309699387
54.3587691748,0.0,53.3587691748
67.5433614933,0.0,66.5433614933
59.8128869904,0.0,58.8128869904
59.4364910602,0.0,58.4364910602
62.3851813165,0.0,61.3851813165
61.7812337051,0.0,60.7812337051
35.9227977643,0.0,34.9227977643
36.7063786264,0.0,35.7063786264
44.8471917182,0.0,43.8471917182
55.9030962815,0.0,54.9030962815
59.0242256635,0.0,58.0242256635
60.9329081701,0.0,59.9329081701
44.1217675796,0.0,43.1217675796
51.2082791235,0.0,50.2082791235
62.9922350945,0.0,61.9922350945
